User1_ID,User2_ID,h1,h2,P1,P2,R1_bitsHz,R2_bitsHz,R_sum_bitsHz,Mode,Throughput_Mbps
242,183,1.0639906070679347e-10,5.711635054752552e-09,0.9817121971794431,0.018287802820556864,0.14306736111723586,0.1433323600708306,0.28639972118806645,NOMA,0.017047602451670623
258,235,1.5131947457941365e-10,5.769243018716689e-09,0.9744417063833455,0.025558293616654466,0.19771940153296294,0.19843381317301179,0.39615321470597475,NOMA,0.02358054849440326
83,339,2.025920844548014e-10,5.817096512662464e-09,0.9663450889217393,0.03365491107826069,0.2563441400402047,0.25794458565817036,0.514288725698375,NOMA,0.0306124241487128
90,479,2.545309757145235e-10,5.838054324088447e-09,0.9582228293590317,0.04177717064096827,0.31188806532203767,0.3148674833958332,0.6267555487178709,NOMA,0.03730687789987327
412,45,2.7557085602944855e-10,5.849873418449187e-09,0.9550121030114337,0.044987896988566374,0.3333673997704343,0.3370528135979714,0.6704202133684056,NOMA,0.03990596508145272
72,420,3.2611530490136314e-10,5.855076584369028e-09,0.9472407084679818,0.052759291532018235,0.38259489509121836,0.3883655627233174,0.7709604578145357,NOMA,0.045890503441341414
379,27,3.329989330468604e-10,5.90837164317167e-09,0.9466465051257035,0.05335349487429651,0.3892687927141357,0.395317608719062,0.7845864014331978,NOMA,0.046701571513880824
108,260,3.577714097461466e-10,5.928876335217122e-09,0.9430902725490249,0.05690972745097506,0.412161411291101,0.4194426039961516,0.8316040152872526,NOMA,0.04950023900519361
70,471,3.7408220310890487e-10,5.942322300749303e-09,0.9407760850527532,0.05922391494724676,0.4268548776285563,0.4350178826979987,0.861872760326555,NOMA,0.0513019500194378
243,363,3.834532704840279e-10,5.987548128676718e-09,0.9398127160143865,0.06018728398561336,0.4353563476194356,0.44400361337732375,0.8793599609967593,NOMA,0.05234285482123568
0,159,3.853976613011517e-10,5.995480722185004e-09,0.939601158627538,0.06039884137246194,0.4371026028078932,0.4458539018069981,0.8829565046148913,NOMA,0.052556934798505435
123,302,3.8942195599705746e-10,6.0009174569760645e-09,0.9390608337318537,0.06093916626814629,0.4406480546190422,0.4496309990962671,0.8902790537153094,NOMA,0.052992800816387464
417,130,4.1079075841076023e-10,6.001293453482816e-09,0.9359349090193175,0.06406509098068257,0.4590271350506644,0.46933734691990664,0.928364481970571,NOMA,0.05525979059348637
192,140,4.404339649732494e-10,6.01065513023035e-09,0.9317271923432723,0.06827280765672779,0.48376161348651076,0.49606786349126414,0.9798294769777749,NOMA,0.058323183153438984
295,100,4.430100382368309e-10,6.031395137580801e-09,0.9315751754475445,0.06842482455245544,0.4859988161201361,0.49845222213836426,0.9844510382585003,NOMA,0.058598276086815504
211,245,4.464522109729893e-10,6.038492280811612e-09,0.9311555848259653,0.06884441517403482,0.4888441552474151,0.5015323608642647,0.9903765161116798,NOMA,0.0589509831018857
30,476,4.5369907086625966e-10,6.067265288229279e-09,0.9304245436898557,0.06957545631014428,0.4948920732195704,0.5080561416423616,1.002948214861932,NOMA,0.059699298503686424
344,92,4.973476428913261e-10,6.1866863026694735e-09,0.9255916940365572,0.07440830596344285,0.5299838660782383,0.5463051371403626,1.076289003218601,NOMA,0.06406482162015482
464,41,5.334514610240967e-10,6.245059524339458e-09,0.9213025600790576,0.07869743992094246,0.5574531641172136,0.5767351493293811,1.1341883134465947,NOMA,0.06751120913372588
355,109,5.369127168086675e-10,6.250434832136771e-09,0.9208950605613103,0.07910493943868964,0.5600259804759221,0.579605235229999,1.1396312157059212,NOMA,0.06783519141106674
308,208,5.540908327810989e-10,6.355108721638292e-09,0.9198039037059393,0.08019609629406073,0.5733468452680222,0.5942188044594771,1.167565649727499,NOMA,0.06949795534092257
262,31,5.603946370891349e-10,6.480976315423453e-09,0.9204139874367551,0.07958601256324496,0.5789609237518992,0.6000747123765979,1.1790356361284973,NOMA,0.07018069262669627
489,486,5.637086481678157e-10,6.55014254600361e-09,0.9207590048229182,0.07924099517708183,0.5819260606649272,0.6031596832429693,1.1850857439078966,NOMA,0.07054081808975575
33,400,5.955933316784236e-10,6.5907535688814704e-09,0.9171215445176992,0.0828784554823008,0.6045807455144973,0.6287563119178973,1.2333370574323945,NOMA,0.07341292008526158
65,362,6.072458314948602e-10,6.708799336344975e-09,0.9169980751124643,0.08300192488753566,0.6136482538722684,0.638623702655782,1.2522719565280505,NOMA,0.07453999741238396
44,369,6.074335099213578e-10,6.7204137448494726e-09,0.9171061447103875,0.08289385528961256,0.6138854755127311,0.6388440000888287,1.25272947560156,NOMA,0.07456723069056904
124,246,6.856920000659337e-10,6.927717200443351e-09,0.9099362740124272,0.09006372598757277,0.6668887300881886,0.699494797445297,1.3663835275334857,NOMA,0.08133235282937415
29,185,7.11427343002716e-10,7.0508016091395634e-09,0.9083475445791416,0.09165245542085831,0.6840702091056048,0.7191600243000424,1.4032302334056472,NOMA,0.08352560913128852
451,323,7.125288839201902e-10,7.113952812333811e-09,0.9089592346122487,0.09104076538775127,0.6854521228157986,0.720418313590019,1.4058704364058174,NOMA,0.08368276407177486
200,472,7.528893356220145e-10,7.19584935420658e-09,0.905281911382314,0.09471808861768603,0.7103558965637794,0.7498149249468409,1.4601708215106202,NOMA,0.08691492985182263
197,42,7.55569209089541e-10,7.236666804012636e-09,0.9054620999866759,0.09453790001332402,0.7124013741568849,0.7520114580121564,1.4644128321690413,NOMA,0.08716743048625246
50,377,7.627418316754147e-10,7.2432243342302635e-09,0.9047283218703025,0.09527167812969757,0.716617987897329,0.7570865336682862,1.4737045215656153,NOMA,0.08772050723604853
266,3,7.86619357609757e-10,7.272750258401122e-09,0.9023969125268748,0.09760308747312517,0.7305134984723762,0.7738637595103506,1.5043772579827268,NOMA,0.08954626535611471
311,280,7.871976101719525e-10,7.334551258103476e-09,0.9030753569287465,0.09692464307125344,0.7316204465284744,0.7747543952703083,1.5063748417987828,NOMA,0.08966516915468946
134,365,7.985831163375121e-10,7.364568112895877e-09,0.9021722011620128,0.09782779883798723,0.7383382095603837,0.7827939209461383,1.521132130506522,NOMA,0.09054357919681678
410,101,8.102282784853149e-10,7.3812448608268565e-09,0.9010888194704685,0.09891118052953157,0.7449524744260901,0.7908451239104521,1.5357975983365422,NOMA,0.09141652371050847
477,437,8.253132216002576e-10,7.477440712368533e-09,0.9005976537226185,0.09940234627738154,0.7543927898823397,0.8018002961393914,1.556193086021731,NOMA,0.09263054083462685
58,237,8.473386084800439e-10,7.479939142462063e-09,0.8982454249968809,0.10175457500311916,0.7661312272378251,0.8164916004875284,1.5826228277253536,NOMA,0.09420373974555676
169,213,8.490457302667427e-10,7.486559095821313e-09,0.898142276657661,0.10185772334233896,0.7671168115351586,0.817675533421904,1.5847923449570627,NOMA,0.09433287767601563
95,336,9.298918098018529e-10,7.514960901727724e-09,0.8898865567504461,0.11011344324955383,0.8078805687479756,0.8698700015920398,1.6777505703400153,NOMA,0.09986610537738187
61,439,1.0194676703773e-09,7.595396429009201e-09,0.8816617814725713,0.11833821852742869,0.8496495968835226,0.9251074680711017,1.7747570649546243,NOMA,0.1056403014853943
418,77,1.0364565334626579e-09,7.638710309617067e-09,0.8805260403389876,0.11947395966101222,0.8576377606984849,0.9355555225235489,1.7931932832220339,NOMA,0.10673769542988297
313,190,1.0662671394886621e-09,7.658390741749609e-09,0.8777869397284229,0.122213060271577,0.8703060252182027,0.9530456937153374,1.82335171893354,NOMA,0.10853284041271072
225,236,1.0754199463416051e-09,7.755825356564742e-09,0.8782255605573898,0.12177443944261024,0.8758570881764203,0.9593705105803422,1.8352275987567626,NOMA,0.10923973802123586
89,198,1.077061919237608e-09,7.795760664957214e-09,0.8786111286439807,0.12138887135601932,0.8772727381399138,0.9607478809318306,1.8380206190717443,NOMA,0.10940598923046098
161,137,1.0884587263969426e-09,7.797659961340294e-09,0.8775102196306463,0.12248978036935358,0.8818769051305578,0.9672672358411333,1.849144140971691,NOMA,0.11006810362926733
333,125,1.1330614031972107e-09,7.810070772114621e-09,0.8733037395639629,0.12669626043603707,0.8994001924056485,0.9924108014799764,1.891810993885625,NOMA,0.11260779725509673
305,356,1.154341939190619e-09,7.906380548586818e-09,0.8725993494726517,0.12740065052734828,0.9093014739420964,1.005240456166117,1.9145419301082134,NOMA,0.11396082917310796
52,221,1.1600690246961282e-09,8.003938447610154e-09,0.8734102925819444,0.12658970741805567,0.9133971847125492,1.009502130938846,1.9228993156513954,NOMA,0.11445829259829736
241,186,1.1695010569801893e-09,8.134377816740481e-09,0.8742996256880009,0.12570037431199915,0.9194894445188283,1.0161356626465994,1.9356251071654276,NOMA,0.11521578018841831
128,397,1.1701740249094882e-09,8.253600754736309e-09,0.8758274627448737,0.12417253725512639,0.9220808078809283,1.0178296774426339,1.939910485323562,NOMA,0.1154708622216406
459,204,1.171620276115414e-09,8.371636113550976e-09,0.8772305565022788,0.12276944349772112,0.9248876445640358,1.0199019259405968,1.9447895705046325,NOMA,0.11576128395860909
433,47,1.1853490859558144e-09,8.394392018779493e-09,0.8762650187519273,0.1237349812480727,0.9304145683400233,1.0276352983488457,1.958049866688869,NOMA,0.11655058730290889
430,23,1.2042144346851876e-09,8.402637538248929e-09,0.8746504642646848,0.12534953573531513,0.9374422786218525,1.0379210422096552,1.9753633208315078,NOMA,0.11758115004949451
422,64,1.2056142728892272e-09,8.782399272567687e-09,0.8792938888796756,0.12070611112032437,0.9451715508768416,1.0427068499194885,1.9878784007963302,NOMA,0.11832609528549584
205,466,1.213781760946141e-09,8.84724323516712e-09,0.8793580414107861,0.12064195858921381,0.9493609509086673,1.047781785158075,1.9971427360667424,NOMA,0.11887754381349658
442,357,1.2531163801671663e-09,8.891158518223476e-09,0.8764705814147477,0.12352941858525239,0.9642828977090558,1.069234464017835,2.033517361726891,NOMA,0.12104270010279113
485,224,1.2549860446633791e-09,9.0683246702825e-09,0.8784318248944657,0.12156817510553429,0.9682686836617935,1.0720506863710637,2.040319370032857,NOMA,0.12144758154957483
206,426,1.2559447162704412e-09,9.133646537959086e-09,0.8791150984155267,0.12088490158447333,0.9698104818910971,1.073216959797971,2.043027441689068,NOMA,0.12160877629101595
497,97,1.2661427899239322e-09,9.163203580008187e-09,0.8785980688517326,0.12140193114826746,0.9739554131904573,1.078903952006303,2.0528593651967606,NOMA,0.12219400983314052
460,68,1.2764947182687395e-09,9.23540163225982e-09,0.878566656699906,0.12143334330009396,0.9789099921037764,1.0850749519985672,2.0639849441023435,NOMA,0.12285624667275855
181,481,1.287682362149749e-09,9.255277962097325e-09,0.8778633019050359,0.12213669809496401,0.9831571776823342,1.0911304895091634,2.0742876671914976,NOMA,0.12346950399949391
441,394,1.3012742457703252e-09,9.390933343269988e-09,0.878296952716841,0.12170304728315905,0.9903379714814508,1.0995680311991851,2.0899060026806358,NOMA,0.12439916682622831
218,348,1.3359023594847565e-09,9.399299022064963e-09,0.8755587052348424,0.12444129476515767,1.0021135045685514,1.1174696057458755,2.119583110314427,NOMA,0.1261656613282397
499,398,1.3469736305813829e-09,9.425512847993312e-09,0.8749616782290358,0.1250383217709641,1.006238572166679,1.1233684291860635,2.1296070013527424,NOMA,0.1267623215090918
60,306,1.3706480130097929e-09,9.482095502720269e-09,0.8737049289865587,0.1262950710134413,1.0149479842284126,1.1358906894771528,2.1508386737055654,NOMA,0.1280261115300932
121,287,1.3899060747434353e-09,9.566321790640907e-09,0.8731400905657708,0.12685990943422912,1.0226692240342137,1.1463832843025727,2.1690525083367866,NOMA,0.12911026835338016
