Method,Total_Throughput_Mbps,NOMA_Pairs,OMA_Users,Avg_NOMA_Rate_bitsHz,Avg_OMA_Rate_bitsHz,NOMA_Percentage
Static,85.71116042931195,132,236,3.9095120091691413,4.495888841902601,52.800000000000004
Balanced,102.77021740206226,250,0,5.138510870103114,0.0,100.0
Blossom,107.49497830657465,250,0,5.374748915328733,0.0,100.0
