User1_ID,User2_ID,h1,h2,P1,P2,R1_bitsHz,R2_bitsHz,R_sum_bitsHz,Mode,Throughput_Mbps
379,160,2.861062547371499e-10,0.00014486036120880637,0.999998024955293,1.975044707034134e-06,0.3630090240558846,0.3630092054104273,0.7260182294663119,NOMA,0.03945751247099521
440,333,3.3887061784493266e-10,9.922328668478759e-05,0.9999965847789178,3.4152210821576044e-06,0.4210148824832637,0.4210153050750319,0.8420301875582956,NOMA,0.045762510193385626
239,287,4.44347087142488e-10,2.6090593351657873e-05,0.9999829693593534,1.7030640646533627e-05,0.5304065564556987,0.530409915151934,1.0608164716076327,NOMA,0.05765306910911047
233,137,4.865075110307917e-10,1.5828240981973866e-05,0.9999692642689467,3.0735731053174115e-05,0.5719051802246707,0.5719122404029265,1.1438174206275973,NOMA,0.06216399025149985
359,457,7.034876924752044e-10,1.544272990793003e-05,0.9999544474551445,4.5552544855382376e-05,0.7684452927811034,0.7684643842143675,1.5369096769954709,NOMA,0.08352769983671036
109,155,7.35754543007808e-10,1.163709478185243e-05,0.9999367790637003,6.32209362996698e-05,0.7954958418931795,0.7955242852806824,1.591020127173862,NOMA,0.08646848517249249
10,321,7.587912713446168e-10,4.962824983672548e-06,0.9998471283440052,0.00015287165599480468,0.8144169382008226,0.814489124470347,1.6289060626711698,NOMA,0.08852750340604185
94,273,8.240478887689206e-10,4.217731688520972e-06,0.9998046611351709,0.00019533886482918389,0.8669113968038971,0.8670162861152503,1.7339276829191475,NOMA,0.09423520015864931
428,289,8.647969277936383e-10,3.921529469537732e-06,0.9997795232021455,0.00022047679785461955,0.8987434837141373,0.8988710157242151,1.7976144994383523,NOMA,0.09769644018686696
130,489,8.766563224001789e-10,3.833305308986504e-06,0.9997713576636862,0.00022864233631372533,0.9078753234677652,0.9080103706553159,1.815885694123081,NOMA,0.09868943989799353
434,230,9.162696531828053e-10,3.569610208595054e-06,0.999743379678385,0.00025662032161496344,0.9379614022473776,0.9381235532724053,1.876084955519783,NOMA,0.10196113888694472
451,18,9.32962951527027e-10,2.490548998892604e-06,0.9996255389499844,0.0003744610500155786,0.9503100567004266,0.9505532139372164,1.900863270637643,NOMA,0.10330778644769799
144,49,9.82767813659331e-10,2.107395306996037e-06,0.9995338749603777,0.00046612503962223964,0.986855008072181,0.9871823903766759,1.9740373984488568,NOMA,0.10728464122004656
331,361,1.149246538353868e-09,2.080087644803253e-06,0.9994478059930925,0.0005521940069076138,1.1029157285912883,1.103404935840912,2.2063206644322,NOMA,0.11990873176261957
330,441,1.169095776312633e-09,1.5424205224288519e-06,0.9992426123093054,0.0007573876906946416,1.1158168748238646,1.1165047056713395,2.232321580495204,NOMA,0.12132182502691327
37,51,1.226892989568357e-09,1.2065220493018265e-06,0.99898414898444,0.0010158510155601058,1.1532352633092244,1.1542245638899478,2.307459827199172,NOMA,0.12540542539125935
