User_ID,x,y,h_linear,h_dB,LOS
0,-171.78008565602366,-3187.893866517385,8.512128897928331e-08,-141.39913413009097,False
1,1036.6095012144517,556.4096914939813,9.082728187963013e-08,-140.83557801817074,False
2,661.5074313700958,-4390.419097923449,3.1029081458753893e-08,-150.1643416864856,False
3,-490.6195131886857,-2634.75276126853,1.4333809410788227e-08,-156.87216153728434,False
4,3177.59722737378,1077.7942914899136,3.92493324311844e-08,-148.12313321281147,False
5,-165.49316588633587,-2751.4395587699278,4.756691700472078e-08,-146.45371731768657,False
6,1981.802062712932,-3038.4944778056456,5.59606627300933e-09,-165.040791014512,False
7,-3768.574750219109,1180.317615783204,5.7757854777105434e-08,-144.76762852792154,False
8,2084.348048856926,-3882.638233772271,4.002294167402973e-08,-147.95360286023106,False
9,2310.3463441380577,3437.7813927429047,2.2333149353073452e-08,-153.0206116794251,False
10,-4925.199186861398,515.6399416598391,1.5039080760710598e-09,-176.44980054325453,False
11,3761.9126243984824,931.888250698093,5.681260943557104e-09,-164.90957652544438,False
12,-4254.244934289414,-1500.2043319654008,8.646426406622395e-09,-161.26226250667398,False
13,3108.79665051341,-2837.5186677512042,7.954667944730254e-09,-161.98646703679626,False
14,611.2713908465557,-560.9940238503723,4.039280445943164e-07,-127.87389835360806,False
15,3308.228694660734,-3415.01146917789,1.8018269840303707e-08,-154.88525622135847,False
16,-2744.5960954981774,1927.385159722077,4.1564681960425595e-08,-147.62530179429427,False
17,-1438.4575219209562,-950.7661687773922,1.0309174144287077e-07,-139.73543822920468,False
18,3287.971438779767,-3173.601773450343,1.0675700127044412e-08,-159.43125909982183,False
19,-226.48738275802052,-2237.1654213694223,7.431596582790523e-08,-142.57824059576114,False
20,-999.6539515070544,-1831.8730144811611,2.258876587091067e-08,-152.9217654050531,False
21,-3002.2340788427905,-1488.377481708106,7.067373168397189e-09,-163.0136106074775,False
22,-1597.1356295093815,3767.4961574355916,1.1099643764199076e-08,-159.09303668528997,False
23,1748.2403164558473,4569.314338395657,1.9797667675191236e-09,-174.0633331802203,False
24,-3193.349776003172,-3261.264858333929,5.075705419547598e-08,-145.8899006978055,False
25,-3501.3230372665967,-669.6910576125609,7.913772823597718e-08,-142.03221866303625,False
26,3968.701012805694,-0.9824942474041218,1.2831401713286312e-08,-157.83384106858477,False
27,4526.314781180876,-623.1706442903625,3.3677731532860366e-09,-169.45056465181156,False
28,2695.4224665547586,1979.3910324728479,2.059470056503702e-08,-153.7244686176277,False
29,676.800379185754,-4312.679341622633,7.011002854377764e-08,-143.08427323296962,False
30,1047.4462397069037,3850.4431477700527,1.3973852266502384e-08,-157.09305549020027,False
31,3009.4924292762953,18.779482742932316,6.849135650942512e-08,-143.2871578288363,False
32,466.7599566795641,-382.75172124505514,3.332279415949696e-07,-129.5451457257883,False
33,3565.0807217085217,916.417875019158,3.787300834526601e-08,-148.4331745893661,False
34,-1460.8459596663195,2412.4295036376284,2.2580489669884615e-09,-172.92148710481186,False
35,-329.7893371296752,1875.099376640635,3.054025167534702e-08,-150.30226336356375,False
36,405.962878318567,-3682.0500843167188,8.56919554403617e-09,-161.3401853754753,False
37,2088.6582192826822,569.6829570378267,6.247280801493147e-08,-144.0860404271119,False
38,-2009.6851493451782,2436.3297202758067,1.3081190352928086e-07,-137.66698829222804,False
39,-1155.722150002068,2159.921636216657,2.4685823901020488e-08,-152.15069561811984,False
40,-417.4577807480824,-861.4524482712151,1.9264561313409294e-06,-114.30481301440268,False
41,-2696.071527447726,-2635.3021169990716,2.3137882272725978e-08,-152.71315247078945,False
42,4234.745002984505,-2266.2865520634787,7.216918981263054e-09,-162.83175994120177,False
43,2068.9767167894083,442.3946097745363,3.942993910967249e-09,-168.08127528453215,False
44,-3380.305789629561,2480.0150151362386,6.051744862048569e-09,-164.3609526454554,False
45,1912.2770640593103,-3787.2834996469505,6.941089308533791e-09,-163.17019607041135,False
46,-333.89211795743415,-815.5467606569714,5.333825211900569e-07,-125.45920811813386,False
47,81.31987798246517,3816.283499481398,2.8189113719057808e-08,-150.99806344357563,False
48,-2952.5858253446854,-2953.6717542754254,1.5703505827833427e-08,-156.07951449905886,False
49,-2460.5809665478896,-4085.5694832474137,5.904770464782498e-07,-124.57592488973384,True
50,2542.029420670513,-4207.7947020704805,3.4842478985980024e-10,-189.13292574679787,False
51,4321.352311741563,-1489.6820111377442,3.0800400006206548e-09,-170.22605326549467,False
52,-2645.1572915638035,-4096.483509450658,2.6231592205944757e-08,-151.62317583888813,False
53,-187.03356237340142,-3552.908200048542,4.66067610313592e-08,-146.6308351887549,False
54,-793.0665977626468,-2057.548277628152,1.1972113026603398e-07,-138.43651128358772,False
55,895.0004473735464,-969.5839544215605,2.9514321855061806e-07,-130.59931439123457,False
56,346.5666366276403,-4798.414668025469,6.739736035288608e-09,-163.4258535867662,False
57,-1942.0202700620505,2451.880766469457,5.0798973974937164e-08,-145.88273020414212,False
58,3193.342943402952,-82.63809517310787,3.509576449141404e-08,-149.09465837056547,False
59,2045.237465868228,299.3826579455942,2.243624328238347e-07,-132.98095847567123,False
60,-813.336599844869,-1626.99480823602,1.981256742785842e-07,-134.06114100794298,False
61,3379.1415082332705,1153.653855960126,3.6231853491285316e-08,-148.81794924162793,False
62,-2680.5550764031445,1154.6550125557246,1.8597004734057022e-08,-154.6106729215232,False
63,3235.440409373651,-977.1964424665476,8.502854941135732e-09,-161.40768313244592,False
64,266.06104091810397,-1069.6896230178124,2.3955011305348196e-07,-132.41203613778967,False
65,-2110.441225838274,1400.3696764111387,4.729203519981029e-08,-146.5040562537456,False
66,2075.5536361578543,-4326.594292106411,6.928941287417394e-09,-163.18540889696635,False
67,1154.3997367749055,936.0575922233968,6.884190782247736e-08,-143.2428158800257,False
68,-1278.5543474451845,3700.0974091331555,3.2175244811726077e-07,-129.84953580438292,False
69,4172.74749452677,-1171.0695521004686,4.816269391150976e-09,-166.34398132814778,False
70,2006.2608180684256,-2771.4581922853954,1.8435330345167346e-07,-134.68693440081006,False
71,3590.4374988209215,-1716.0500599629565,2.0766574117355938e-08,-153.6522846181441,False
72,1206.1760203672561,-3043.486614729191,2.1881515808185642e-08,-153.1980549824188,False
73,-1936.3865913317575,4494.882574127629,1.313830815427185e-08,-157.6285500360002,False
74,-1077.4428855845092,4564.596175087546,1.0510994609343834e-08,-159.56629740989598,False
75,1406.4704367124095,-988.3683109852175,1.2945582047193108e-07,-137.7575012737915,False
76,-1381.1012197232237,169.689822183303,8.910916679134344e-08,-141.0014548688722,False
77,-2049.263956674375,-4263.687647139083,4.364195117002767e-09,-167.19992678558853,False
78,-362.45746214274357,413.13200339794327,5.331618816548219e-07,-125.46280186834495,False
79,3990.265632463741,1649.6514081929533,1.0656969731613305e-08,-159.4465103495921,False
80,1249.7221521506772,-1334.6343401308652,4.967031322317866e-08,-146.07788715723638,False
81,-1388.1148131773557,1329.2708504424788,1.2015252738100252e-06,-118.40533456052324,False
82,358.52651153202925,-3356.2186000300703,1.2101877601885223e-08,-158.34222717542394,False
83,-4537.1774062494105,98.44996631620648,2.769492282977503e-09,-171.14886110401733,False
84,-519.6617836315218,3126.0777050861534,1.097216015210523e-08,-159.19336564544506,False
85,1791.58728611825,-3640.517402052232,1.1474867909423646e-08,-158.80428918506064,False
86,2892.7928923454488,1104.9457226008399,1.8634718142620427e-08,-154.59307733390145,False
87,-2812.3221113182353,3923.9456550827276,6.746440522291943e-08,-143.41837733514285,False
88,-1744.5385493022488,701.246877426727,3.7986635816053876e-08,-148.40715468378403,False
89,-4631.708177187847,458.81463796040026,8.519859279726894e-09,-161.39033213840634,False
90,-2482.8046499787856,2482.923622617476,2.5429245215764942e-08,-151.8929890408113,False
91,1484.4672303727903,-1059.8346637313148,3.181095840360055e-08,-149.94819188179702,False
92,-4429.593408702418,-1512.1037993730747,6.2635936850808665e-09,-164.0621418327412,False
93,1644.540091488855,-336.72212739121284,2.6671465660447246e-08,-151.47873670665214,False
94,247.98266438153428,3611.761575202434,1.2501588704572591e-08,-158.06000110989945,False
95,-894.6918994139575,2509.3463460555963,1.283836111631316e-08,-157.82913172248183,False
96,-1325.1106823381883,-1665.9082086870062,1.4702476708325748e-08,-156.65159924148057,False
97,3325.598577516925,2368.092897215358,1.86195885917149e-08,-154.60013190415714,False
