Method,Time_ms,Time_std_ms,Pairs,Pairing_Efficiency_%,Throughput_Mbps,Avg_Sum_Rate_bps_Hz
Static,0.299299999824143,0.23002575237076,250,100.0,40780.82997028987,8.156165994057973
Balanced,0.19383333346922882,0.09025210382824769,250,100.0,52795.45057336732,10.559090114673465
Bipartite,32927.09489999985,513.5975521759692,232,92.80000000000001,73296.08276758305,15.796569561979107
Blossom,44749.256799999785,0.0,232,92.80000000000001,73296.09098665953,15.796571333331794
NOMA-GNN,846.3113666669718,185.32742389797497,225,90.0,70744.10868302375,15.720913040671944
